Pos.,Pct.,Amount,2 Tied,3 Tied,4 Tied,5 Tied,6 Tied,7 Tied,8 Tied,9 Tied,10 Tied
49,0.27%,"$24,115.00 ","$23,751.00 ","$23,447.67 ","$23,159.50 ","$22,913.80 ","$22,689.33 ","$22,503.00 ","$22,340.50 ","$22,193.89 ","$22,058.40 "
50,0.26%,"$23,387.00 ","$23,114.00 ","$22,841.00 ","$22,613.50 ","$22,404.20 ","$22,234.33 ","$22,087.00 ","$21,953.75 ","$21,829.89 ","$21,712.60 "
51,0.25%,"$22,841.00 ","$22,568.00 ","$22,355.67 ","$22,158.50 ","$22,003.80 ","$21,870.33 ","$21,749.00 ","$21,635.25 ","$21,526.56 ","$21,421.40 "
52,0.24%,"$22,295.00 ","$22,113.00 ","$21,931.00 ","$21,794.50 ","$21,676.20 ","$21,567.00 ","$21,463.00 ","$21,362.25 ","$21,263.67 ","$21,166.60 "
53,0.24%,"$21,931.00 ","$21,749.00 ","$21,627.67 ","$21,521.50 ","$21,421.40 ","$21,324.33 ","$21,229.00 ","$21,134.75 ","$21,041.22 ","$20,948.20 "
54,0.24%,"$21,567.00 ","$21,476.00 ","$21,385.00 ","$21,294.00 ","$21,203.00 ","$21,112.00 ","$21,021.00 ","$20,930.00 ","$20,839.00 ","$20,748.00 "
55,0.23%,"$21,385.00 ","$21,294.00 ","$21,203.00 ","$21,112.00 ","$21,021.00 ","$20,930.00 ","$20,839.00 ","$20,748.00 ","$20,657.00 ","$20,566.00 "
56,0.23%,"$21,203.00 ","$21,112.00 ","$21,021.00 ","$20,930.00 ","$20,839.00 ","$20,748.00 ","$20,657.00 ","$20,566.00 ","$20,475.00 ","$20,384.00 "
57,0.23%,"$21,021.00 ","$20,930.00 ","$20,839.00 ","$20,748.00 ","$20,657.00 ","$20,566.00 ","$20,475.00 ","$20,384.00 ","$20,293.00 ","$20,202.00 "
58,0.23%,"$20,839.00 ","$20,748.00 ","$20,657.00 ","$20,566.00 ","$20,475.00 ","$20,384.00 ","$20,293.00 ","$20,202.00 ","$20,111.00 ","$20,020.00 "
